연도,위치,방문자수,longitude,latitude
2021,강원강릉시,294260247.0,128.878497222222,37.7491361111111
2022,강원강릉시,347253527.0,128.878497222222,37.7491361111111
2023,강원강릉시,344173913.0,128.878497222222,37.7491361111111
2021,강원고성군,263315307.0,128.470163888888,38.3779611111111
2022,강원고성군,309864966.0,128.470163888888,38.3779611111111
2023,강원고성군,308376926.0,128.470163888888,38.3779611111111
2021,강원동해시,256956026.0,129.116633333333,37.5219305555555
2022,강원동해시,303951737.0,129.116633333333,37.5219305555555
2023,강원동해시,303136275.0,129.116633333333,37.5219305555555
2021,강원삼척시,259645157.0,129.167488888888,37.4470861111111
2022,강원삼척시,305518050.0,129.167488888888,37.4470861111111
2023,강원삼척시,305048567.0,129.167488888888,37.4470861111111
2021,강원속초시,277348917.0,128.594166666666,38.204275
2022,강원속초시,329707194.0,128.594166666666,38.204275
2023,강원속초시,328288022.0,128.594166666666,38.204275
2021,강원양구군,246145588.0,127.992244444444,38.1072916666666
2022,강원양구군,289838906.0,127.992244444444,38.1072916666666
2023,강원양구군,288989885.0,127.992244444444,38.1072916666666
2021,강원양양군,266496009.0,128.621355555555,38.0728333333333
2022,강원양양군,314206075.0,128.621355555555,38.0728333333333
2023,강원양양군,311642766.0,128.621355555555,38.0728333333333
2021,강원영월군,253925802.0,128.464019444444,37.1808611111111
2022,강원영월군,298182250.0,128.464019444444,37.1808611111111
2023,강원영월군,297441228.0,128.464019444444,37.1808611111111
2021,강원원주시,284793556.0,127.922055555555,37.3390833333333
2022,강원원주시,335515946.0,127.922055555555,37.3390833333333
2023,강원원주시,337169394.0,127.922055555555,37.3390833333333
2021,강원인제군,254656422.0,128.172697222222,38.0669722222222
2022,강원인제군,299278810.0,128.172697222222,38.0669722222222
2023,강원인제군,298493312.0,128.172697222222,38.0669722222222
2021,강원정선군,254351630.0,128.663086111111,37.3778083333333
2022,강원정선군,302307816.0,128.663086111111,37.3778083333333
2023,강원정선군,303018351.0,128.663086111111,37.3778083333333
2021,강원철원군,251261049.0,127.315733333333,38.1440555555555
2022,강원철원군,296982812.0,127.315733333333,38.1440555555555
2023,강원철원군,296138678.0,127.315733333333,38.1440555555555
2021,강원춘천시,285412678.0,127.732311111111,37.8785416666666
2022,강원춘천시,338135756.0,127.732311111111,37.8785416666666
2023,강원춘천시,336771224.0,127.732311111111,37.8785416666666
2021,강원태백시,248603189.0,128.987997222222,37.1612277777777
2022,강원태백시,293466882.0,128.987997222222,37.1612277777777
2023,강원태백시,292839789.0,128.987997222222,37.1612277777777
2021,강원평창군,268793391.0,128.392352777777,37.3679166666666
2022,강원평창군,315588776.0,128.392352777777,37.3679166666666
2023,강원평창군,316061792.0,128.392352777777,37.3679166666666
2021,강원홍천군,268985861.0,127.890841666666,37.6944222222222
2022,강원홍천군,317742913.0,127.890841666666,37.6944222222222
2023,강원홍천군,315617313.0,127.890841666666,37.6944222222222
2021,강원화천군,248080178.0,127.710355555555,38.1034083333333
2022,강원화천군,291841409.0,127.710355555555,38.1034083333333
2023,강원화천군,291519540.0,127.710355555555,38.1034083333333
2021,강원횡성군,259402864.0,127.987222222222,37.4889583333333
2022,강원횡성군,306257409.0,127.987222222222,37.4889583333333
2023,강원횡성군,303789102.0,127.987222222222,37.4889583333333
2021,경기가평군,853569134.0,127.511777777777,37.8288305555555
2022,경기가평군,948772495.0,127.511777777777,37.8288305555555
2023,경기가평군,996133111.0,127.511777777777,37.8288305555555
2021,경기고양시,2654000982.0,126.777055555555,37.6559083333333
2022,경기고양시,2935533499.0,126.777055555555,37.6559083333333
2023,경기고양시,3089212035.0,126.777055555555,37.6559083333333
2021,경기과천시,834834965.0,126.9898,37.4263722222222
2022,경기과천시,929453243.0,126.9898,37.4263722222222
2023,경기과천시,979703795.0,126.9898,37.4263722222222
2021,경기광명시,861728076.0,126.866708333333,37.47575
2022,경기광명시,957621124.0,126.866708333333,37.47575
