광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.30257243E8,5.2,1.1558959E7,5.0
강원특별자치도,춘천시,1.30257243E8,5.2,2.6855351E7,11.6
강원특별자치도,원주시,1.30257243E8,5.2,2.7178083E7,11.7
강원특별자치도,강릉시,1.30257243E8,5.2,3.0445187E7,13.1
강원특별자치도,동해시,1.30257243E8,5.2,9918240.0,4.3
강원특별자치도,태백시,1.30257243E8,5.2,4480227.0,1.9
강원특별자치도,속초시,1.30257243E8,5.2,2.1209492E7,9.1
강원특별자치도,삼척시,1.30257243E8,5.2,1.0420586E7,4.5
강원특별자치도,홍천군,1.30257243E8,5.2,1.4879864E7,6.4
강원특별자치도,횡성군,1.30257243E8,5.2,1.0304371E7,4.4
강원특별자치도,영월군,1.30257243E8,5.2,6611961.0,2.8
강원특별자치도,평창군,1.30257243E8,5.2,1.5249357E7,6.6
강원특별자치도,정선군,1.30257243E8,5.2,6933487.0,3.0
강원특별자치도,철원군,1.30257243E8,5.2,5992896.0,2.6
강원특별자치도,화천군,1.30257243E8,5.2,4189244.0,1.8
강원특별자치도,양구군,1.30257243E8,5.2,2804606.0,1.2
강원특별자치도,인제군,1.30257243E8,5.2,8616706.0,3.7
강원특별자치도,양양군,1.30257243E8,5.2,1.436866E7,6.2
경기도,고양시 덕양구,5.51185575E8,22.0,6.1833083E7,3.6
경기도,고양시 일산동구,5.51185575E8,22.0,5.8141857E7,3.4
경기도,고양시 일산서구,5.51185575E8,22.0,3.9703671E7,2.3
경기도,성남시 수정구,5.51185575E8,22.0,3.4129619E7,2.0
경기도,성남시 중원구,5.51185575E8,22.0,2.4890556E7,1.5
경기도,성남시 분당구,5.51185575E8,22.0,7.8839906E7,4.6
경기도,수원시 장안구,5.51185575E8,22.0,3.1420522E7,1.8
경기도,수원시 권선구,5.51185575E8,22.0,3.7728098E7,2.2
경기도,수원시 팔달구,5.51185575E8,22.0,5.2770241E7,3.1
경기도,수원시 영통구,5.51185575E8,22.0,4.9896263E7,2.9
경기도,안산시 상록구,5.51185575E8,22.0,2.6990162E7,1.6
경기도,의정부시,5.51185575E8,22.0,3.8987138E7,2.3
경기도,안산시 단원구,5.51185575E8,22.0,4.7587368E7,2.8
경기도,안양시 만안구,5.51185575E8,22.0,2.6873E7,1.6
경기도,부천시,5.51185575E8,22.0,6.4373106E7,3.8
경기도,광명시,5.51185575E8,22.0,3.5779409E7,2.1
경기도,평택시,5.51185575E8,22.0,4.1786373E7,2.5
경기도,동두천시,5.51185575E8,22.0,8663852.0,0.5
경기도,안양시 동안구,5.51185575E8,22.0,3.6532526E7,2.2
경기도,용인시 처인구,5.51185575E8,22.0,4.2831636E7,2.5
경기도,용인시 기흥구,5.51185575E8,22.0,5.5211114E7,3.2
경기도,용인시 수지구,5.51185575E8,22.0,3.3128419E7,1.9
경기도,과천시,5.51185575E8,22.0,1.746405E7,1.0
경기도,구리시,5.51185575E8,22.0,4.4502613E7,2.6
경기도,남양주시,5.51185575E8,22.0,6.9184195E7,4.1
경기도,오산시,5.51185575E8,22.0,2.3970182E7,1.4
경기도,시흥시,5.51185575E8,22.0,5.2072844E7,3.1
경기도,군포시,5.51185575E8,22.0,2.3400744E7,1.4
경기도,의왕시,5.51185575E8,22.0,2.591742E7,1.5
경기도,하남시,5.51185575E8,22.0,5.4477759E7,3.2
경기도,파주시,5.51185575E8,22.0,5.0951894E7,3.0
