광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.31714944E8,7.9,1.1612683E7,6.0
강원특별자치도,춘천시,1.31714944E8,7.9,2.0571796E7,10.7
강원특별자치도,원주시,1.31714944E8,7.9,1.875444E7,9.8
강원특별자치도,강릉시,1.31714944E8,7.9,2.6334028E7,13.7
강원특별자치도,동해시,1.31714944E8,7.9,6798468.0,3.5
강원특별자치도,태백시,1.31714944E8,7.9,3006113.0,1.6
강원특별자치도,속초시,1.31714944E8,7.9,1.9495563E7,10.1
강원특별자치도,삼척시,1.31714944E8,7.9,8614642.0,4.5
강원특별자치도,홍천군,1.31714944E8,7.9,1.5125927E7,7.9
강원특별자치도,횡성군,1.31714944E8,7.9,8203706.0,4.3
강원특별자치도,영월군,1.31714944E8,7.9,6076641.0,3.2
강원특별자치도,평창군,1.31714944E8,7.9,1.339982E7,7.0
강원특별자치도,정선군,1.31714944E8,7.9,8151609.0,4.2
강원특별자치도,철원군,1.31714944E8,7.9,4682440.0,2.4
강원특별자치도,화천군,1.31714944E8,7.9,2436790.0,1.3
강원특별자치도,양구군,1.31714944E8,7.9,1828609.0,1.0
강원특별자치도,인제군,1.31714944E8,7.9,4844677.0,2.5
강원특별자치도,양양군,1.31714944E8,7.9,1.2223645E7,6.4
경기도,고양시 덕양구,2.94374912E8,17.7,3.2711146E7,3.5
경기도,고양시 일산동구,2.94374912E8,17.7,2.839727E7,3.1
경기도,고양시 일산서구,2.94374912E8,17.7,1.4481912E7,1.6
경기도,성남시 수정구,2.94374912E8,17.7,1.8403383E7,2.0
경기도,성남시 중원구,2.94374912E8,17.7,1.1899452E7,1.3
경기도,성남시 분당구,2.94374912E8,17.7,4.2641075E7,4.6
경기도,수원시 장안구,2.94374912E8,17.7,1.3342079E7,1.4
경기도,수원시 권선구,2.94374912E8,17.7,2.2408787E7,2.4
경기도,수원시 팔달구,2.94374912E8,17.7,2.7804443E7,3.0
경기도,수원시 영통구,2.94374912E8,17.7,2.5585337E7,2.8
경기도,안산시 상록구,2.94374912E8,17.7,1.3086537E7,1.4
경기도,의정부시,2.94374912E8,17.7,2.1491635E7,2.3
경기도,안산시 단원구,2.94374912E8,17.7,2.7255395E7,2.9
경기도,안양시 만안구,2.94374912E8,17.7,1.5137776E7,1.6
경기도,부천시,2.94374912E8,17.7,3.5880751E7,3.9
경기도,광명시,2.94374912E8,17.7,1.9988936E7,2.2
경기도,평택시,2.94374912E8,17.7,2.499368E7,2.7
경기도,동두천시,2.94374912E8,17.7,5186687.0,0.6
경기도,안양시 동안구,2.94374912E8,17.7,2.2172753E7,2.4
경기도,용인시 처인구,2.94374912E8,17.7,3.2213227E7,3.5
경기도,용인시 기흥구,2.94374912E8,17.7,2.8770919E7,3.1
경기도,용인시 수지구,2.94374912E8,17.7,1.6287699E7,1.8
경기도,과천시,2.94374912E8,17.7,1.1689863E7,1.3
경기도,구리시,2.94374912E8,17.7,1.4650351E7,1.6
경기도,남양주시,2.94374912E8,17.7,3.2359722E7,3.5
경기도,오산시,2.94374912E8,17.7,1.2377728E7,1.3
경기도,시흥시,2.94374912E8,17.7,2.933968E7,3.2
경기도,군포시,2.94374912E8,17.7,1.2981628E7,1.4
경기도,의왕시,2.94374912E8,17.7,1.3791999E7,1.5
경기도,하남시,2.94374912E8,17.7,2.6398271E7,2.8
경기도,파주시,2.94374912E8,17.7,3.3382554E7,3.6
경기도,이천시,2.94374912E8,17.7,1.8611759E7,2.0
경기도,안성시,2.94374912E8,17.7,1.6722693E7,1.8
경기도,김포시,2.94374912E8,17.7,2.7252137E7,2.9
경기도,화성시,2.94374912E8,17.7,5.2221879E7,5.6
경기도,광주시,2.94374912E8,17.7,2.4572754E7,2.6
